ibge_code,municipio,uf,bf_valor,bf_beneficiarios
1100015,ALTA FLORESTA D'OESTE,RO,1119132.0,1661
1100023,ARIQUEMES,RO,3705181.0,5522
1100031,CABIXI,RO,190671.0,280
1100049,CACOAL,RO,3565556.0,5284
1100056,CEREJEIRAS,RO,641731.0,945
1100064,COLORADO DO OESTE,RO,274087.0,401
1100072,CORUMBIARA,RO,256825.0,369
1100080,COSTA MARQUES,RO,1228727.0,1881
1100098,ESPIGÃO D'OESTE,RO,1284930.0,1883
1100106,GUAJARÁ-MIRIM,RO,2949235.0,4306
1100114,JARU,RO,1853038.0,2729
1100122,JI-PARANÁ,RO,3583073.0,5259
1100130,MACHADINHO D'OESTE,RO,1575436.0,2357
1100148,NOVA BRASILÂNDIA D'OESTE,RO,1154594.0,1730
1100155,OURO PRETO DO OESTE,RO,1387777.0,2079
1100189,PIMENTA BUENO,RO,879689.0,1296
1100205,PORTO VELHO,RO,31031423.0,47429
1100254,PRESIDENTE MÉDICI,RO,1458330.0,2227
1100262,RIO CRESPO,RO,133364.0,198
1100288,ROLIM DE MOURA,RO,1188488.0,1740
1100296,SANTA LUZIA D'OESTE,RO,369899.0,545
1100304,VILHENA,RO,2427596.0,3511
1100320,SÃO MIGUEL DO GUAPORÉ,RO,755231.0,1097
1100338,NOVA MAMORÉ,RO,1563857.0,2287
1100346,ALVORADA D'OESTE,RO,851716.0,1248
1100379,ALTO ALEGRE DOS PARECIS,RO,475499.0,698
1100403,ALTO PARAÍSO,RO,832204.0,1230
1100452,BURITIS,RO,1381500.0,2054
1100502,NOVO HORIZONTE DO OESTE,RO,393635.0,580
1100601,CACAULÂNDIA,RO,214162.0,317
1100700,CAMPO NOVO DE RONDÔNIA,RO,405650.0,593
1100809,CANDEIAS DO JAMARI,RO,2164442.0,3290
1100908,CASTANHEIRAS,RO,159689.0,235
1100924,CHUPINGUAIA,RO,420234.0,607
1100940,CUJUBIM,RO,845170.0,1243
1101005,GOVERNADOR JORGE TEIXEIRA,RO,614373.0,904
1101104,ITAPUÃ DO OESTE,RO,480872.0,692
1101203,MINISTRO ANDREAZZA,RO,355442.0,520
1101302,MIRANTE DA SERRA,RO,429002.0,620
1101401,MONTE NEGRO,RO,818677.0,1234
1101435,NOVA UNIÃO,RO,385624.0,569
