município,saldo,movements,month
110001,-3,211,202209
110002,64,1920,202209
110003,6,20,202209
110004,31,1881,202209
110005,12,232,202209
110006,32,208,202209
110007,20,160,202209
110008,-3,43,202209
110009,10,536,202209
110010,28,214,202209
110011,-10,768,202209
110012,256,2680,202209
110013,60,316,202209
110014,3,135,202209
110015,56,484,202209
110018,31,733,202209
110020,448,7586,202209
110025,6,162,202209
110026,4,56,202209
110028,164,1112,202209
110029,12,32,202209
110030,105,2477,202209
110032,29,225,202209
110033,63,149,202209
110034,0,42,202209
110037,4,48,202209
110040,13,77,202209
110045,33,309,202209
110050,2,32,202209
110060,2,18,202209
110070,18,46,202209
110080,107,291,202209
110090,8,16,202209
110092,2,262,202209
110094,15,169,202209
110100,-5,21,202209
110110,10,96,202209
110120,0,46,202209
110130,7,79,202209
110140,33,125,202209
110143,7,17,202209
110145,0,54,202209
110146,11,69,202209
110147,-2,6,202209
110148,2,40,202209
110149,10,116,202209
110150,31,69,202209
110155,0,18,202209
110160,3,33,202209
110170,-5,115,202209
110175,15,25,202209
110180,0,22,202209
120001,1,77,202209
120005,2,18,202209
120010,-5,177,202209
120013,110,206,202209
120017,-10,22,202209
120020,86,474,202209
120025,31,137,202209
120030,7,59,202209
120032,-1,1,202209
120033,-1,25,202209
120034,7,29,202209
120038,13,115,202209
120039,4,4,202209
120040,381,4645,202209
120042,78,196,202209
120043,-3,3,202209
120045,57,191,202209
120050,-8,246,202209
120060,14,86,202209
120070,1,71,202209
120080,-3,55,202209
130002,2,4,202209
130010,-6,6,202209
130014,12,58,202209
130030,-2,20,202209
130040,2,12,202209
130050,0,6,202209
130060,-1,7,202209
130063,-1,1,202209
130068,1,5,202209
130070,51,115,202209
130080,-2,8,202209
130090,-5,9,202209
130100,-1,5,202209
130110,2,58,202209
130115,-5,5,202209
130120,-10,72,202209
130130,1,7,202209
130140,-1,3,202209
130150,0,2,202209
130160,-1,1,202209
130165,-1,3,202209
130170,-32,270,202209
130185,150,364,202209
130190,131,563,202209
130195,3,3,202209
130200,2,8,202209
130220,-1,1,202209
130230,1,5,202209
130240,28,84,202209
130250,17,207,202209
130255,16,20,202209
130260,4643,34049,202209
130270,24,94,202209
130280,2,2,202209
130290,8,48,202209
130300,-7,7,202209
130310,1,15,202209
130320,6,28,202209
130330,0,16,202209
130340,6,244,202209
130353,-32,292,202209
130356,3,125,202209
130360,1,1,202209
130370,3,3,202209
130380,169,217,202209
130390,0,6,202209
130395,-9,9,202209
130400,1,11,202209
130406,2,90,202209
130410,9,15,202209
130420,32,148,202209
130423,-2,2,202209
130426,-1,3,202209
130440,2,4,202209
140002,-3,5,202209
140005,3,29,202209
140010,972,6152,202209
140015,7,45,202209
140017,8,44,202209
140020,-2,26,202209
140023,-5,21,202209
140028,4,4,202209
140030,15,39,202209
140040,2,2,202209
140045,8,50,202209
140047,39,153,202209
140050,40,132,202209
140060,-2,10,202209
140070,1,3,202209
150010,219,577,202209
150013,8,46,202209
150020,9,259,202209
150030,-21,45,202209
150034,19,195,202209
150040,1,45,202209
150050,-98,144,202209
150060,63,1175,202209
150070,0,4,202209
150080,589,4453,202209
150085,-16,344,202209
150090,-8,18,202209
150095,-9,27,202209
150100,6,18,202209
150110,4,8,202209
150120,-1,21,202209
150125,-2,46,202209
150130,438,2738,202209
150140,1424,18988,202209
150145,25,71,202209
150150,200,862,202209
150157,2,90,202209
150160,31,181,202209
150170,35,283,202209
150172,11,63,202209
150175,5,17,202209
150178,7,167,202209
150180,6,124,202209
150190,9,21,202209
150195,2,6,202209
150200,5,7,202209
150210,7,83,202209
150215,387,2239,202209
150220,1,421,202209
150230,41,203,202209
150240,366,2484,202209
150250,-3,5,202209
150260,-2,6,202209
150270,236,456,202209
150275,80,220,202209
150276,10,198,202209
150277,159,387,202209
150280,-3,5,202209
150285,-1,1,202209
150290,5,27,202209
150293,177,431,202209
150295,-9,135,202209
150300,-1,3,202209
150304,55,99,202209
150307,-15,39,202209
150309,28,168,202209
150310,2,6,202209
150320,25,83,202209
150330,89,147,202209
150340,14,48,202209
150345,-150,322,202209
150350,7,27,202209
150360,284,1320,202209
150370,10,118,202209
150375,27,73,202209
150380,18,142,202209
150390,42,272,202209
150400,32,38,202209
150405,66,144,202209
150410,3,3,202209
150420,15,3999,202209
150430,2,2,202209
150440,2,18,202209
150442,100,840,202209
150445,8,82,202209
150450,-1,1,202209
150460,21,25,202209
150470,-32,752,202209
150475,7,37,202209
150480,-3,65,202209
150490,0,2,202209
150495,-4,12,202209
150497,2,38,202209
150500,14,18,202209
150503,191,711,202209
150506,31,225,202209
150510,138,392,202209
150520,-1,3,202209
150530,206,494,202209
150540,3,9,202209
150543,63,233,202209
150548,21,185,202209
150549,30,42,202209
150550,525,2035,202209
150553,1039,6227,202209
150555,-3,27,202209
150560,37,41,202209
150563,8,46,202209
150565,7,25,202209
150570,-4,4,202209
150580,29,91,202209
150590,8,32,202209
150600,-3,21,202209
150610,-3,21,202209
150611,2,2,202209
150613,-6,1402,202209
150616,33,233,202209
150618,56,230,202209
150619,14,70,202209
150620,19,335,202209
150630,21,37,202209
150635,-17,39,202209
150640,-3,3,202209
150650,64,638,202209
150655,9,15,202209
150658,41,243,202209
150660,19,99,202209
150670,53,581,202209
150680,272,2668,202209
150690,3,5,202209
150700,-41,117,202209
150710,2,22,202209
150715,12,70,202209
150720,0,20,202209
150730,3,531,202209
150740,10,18,202209
150745,20,160,202209
150746,0,4,202209
150747,25,31,202209
150750,5,37,202209
150760,72,346,202209
150770,0,2,202209
150775,7,73,202209
150780,12,22,202209
150790,-1,15,202209
150795,-98,1232,202209
150796,-4,6,202209
150797,5,45,202209
150800,-327,1033,202209
150803,-7,27,202209
150805,19,67,202209
150808,6,440,202209
150810,16,482,202209
150812,37,295,202209
150815,9,157,202209
150820,-14,74,202209
150830,3,25,202209
150835,23,59,202209
150840,72,820,202209
160005,2,2,202209
160010,-2,8,202209
160015,-309,365,202209
160020,0,12,202209
160021,1,3,202209
160023,8,14,202209
160025,7,13,202209
160027,24,88,202209
160030,627,4843,202209
160040,27,73,202209
160050,30,96,202209
160053,25,85,202209
160055,16,18,202209
160060,262,750,202209
160070,2,28,202209
160080,18,20,202209
170025,0,16,202209
170030,4,126,202209
170035,-2,20,202209
170040,121,257,202209
170070,32,218,202209
170100,3,39,202209
170105,1,7,202209
170110,20,34,202209
170130,7,7,202209
170190,-8,20,202209
170200,30,110,202209
170210,243,2803,202209
170215,3,25,202209
170220,106,226,202209
170230,-52,100,202209
170240,-33,77,202209
170255,25,81,202209
170270,0,4,202209
170290,14,18,202209
170300,-8,64,202209
170305,1,49,202209
170307,14,20,202209
170310,4,12,202209
170320,-3,15,202209
170330,-1,15,202209
170360,3,13,202209
170370,6,28,202209
170380,2,10,202209
170382,0,4,202209
170384,93,161,202209
170386,13,77,202209
170388,6,8,202209
170389,2,2,202209
170390,-17,53,202209
170410,-1,3,202209
170460,-1,5,202209
170510,2,18,202209
170550,73,329,202209
170555,2,4,202209
170560,-2,4,202209
170600,4,30,202209
170610,-7,29,202209
170625,3,3,202209
170650,17,89,202209
170700,1,151,202209
170710,-20,80,202209
170720,11,43,202209
170730,-4,44,202209
170740,2,2,202209
170755,8,16,202209
170765,10,40,202209
170770,5,15,202209
170820,-65,219,202209
170825,-8,40,202209
170830,-8,22,202209
170900,11,33,202209
170930,40,264,202209
170950,195,1365,202209
170980,1,7,202209
171050,4,32,202209
171070,1,3,202209
171090,3,13,202209
171110,-10,14,202209
171150,3,13,202209
171180,-2,2,202209
171190,-5,285,202209
171195,1,5,202209
171200,7,19,202209
171215,1,1,202209
171240,8,12,202209
171245,-1,1,202209
171250,7,57,202209
171270,11,37,202209
171280,-1,7,202209
171320,2,120,202209
171330,22,168,202209
171360,21,45,202209
171370,3,11,202209
171380,-3,13,202209
171395,6,22,202209
171420,13,53,202209
171430,3,7,202209
171488,30,106,202209
171500,9,25,202209
171510,23,43,202209
171515,1,1,202209
171525,2,10,202209
171550,-1,1,202209
171570,11,31,202209
171575,12,72,202209
171610,76,976,202209
171620,-3,21,202209
171630,-5,13,202209
171650,20,116,202209
171660,25,81,202209
171665,6,14,202209
171670,8,28,202209
171700,-1,3,202209
171720,-5,23,202209
171750,19,77,202209
171780,2,6,202209
171790,1,19,202209
171800,1,5,202209
171820,255,915,202209
171840,0,20,202209
171845,10,20,202209
171850,-1,11,202209
171855,3,5,202209
171865,2,6,202209
171870,-6,12,202209
171875,11,25,202209
171880,3,3,202209
171884,-5,31,202209
171886,-4,26,202209
171888,16,28,202209
171889,7,45,202209
171890,15,41,202209
172010,8,12,202209
172015,-2,8,202209
172020,-3,7,202209
172025,1,5,202209
172030,8,12,202209
172049,-8,18,202209
172065,9,23,202209
172080,8,18,202209
172085,3,13,202209
172090,17,49,202209
172093,3,5,202209
172097,-2,36,202209
172100,447,7165,202209
172110,-13,17,202209
172120,-8,120,202209
172125,2,4,202209
172130,-1,3,202209
172208,6,42,202209
172210,15,149,202209
210005,286,1306,202209
210010,3,7,202209
210015,-4,8,202209
210020,5,7,202209
210030,-6,52,202209
210040,0,6,202209
210043,0,38,202209
210047,70,80,202209
210050,62,126,202209
210055,-5,5,202209
210060,7,35,202209
210070,2,2,202209
210080,12,36,202209
210087,-9,11,202209
210090,5,25,202209
210095,6,12,202209
210100,15,37,202209
210110,0,8,202209
210120,50,500,202209
210125,-6,38,202209
210135,-1,1,202209
210140,439,2319,202209
210150,20,70,202209
210160,54,288,202209
210170,48,206,202209
210173,1,1,202209
210177,1,21,202209
210180,2,8,202209
210190,6,12,202209
210193,-32,38,202209
210197,-3,5,202209
210200,11,41,202209
210203,11,53,202209
210207,-1,3,202209
210210,15,41,202209
210220,16,50,202209
210230,48,80,202209
210232,22,136,202209
210235,-4,10,202209
210237,-1,1,202209
210250,4,4,202209
210255,-1,49,202209
210260,0,8,202209
210270,-4,6,202209
210275,-1,19,202209
210280,52,172,202209
210290,5,23,202209
210300,31,481,202209
210312,-2,2,202209
210315,-2,2,202209
210317,0,26,202209
210320,82,248,202209
210325,-12,68,202209
210330,25,379,202209
210340,76,150,202209
210350,76,252,202209
210355,0,4,202209
210360,51,119,202209
210370,5,25,202209
210375,27,99,202209
210380,-2,60,202209
210400,7,9,202209
210405,26,162,202209
210407,-1,3,202209
210408,0,8,202209
210409,9,13,202209
210410,14,54,202209
210420,5,13,202209
210430,74,110,202209
210440,7,27,202209
210450,6,10,202209
210455,52,166,202209
210460,4,6,202209
210462,-1,3,202209
210465,3,3,202209
210467,10,38,202209
210480,32,404,202209
210500,25,27,202209
210510,3,5,202209
210515,0,40,202209
210520,-4,6,202209
